sector,Q42019,Q12020,Q22020,Q32020
Information Technology,0.002 ,0.004 ,(0.005),(0.009)
Industrials,(0.011),0.166 ,(0.058),(0.035)
Health Care,(0.001),0.041 ,(0.004),(0.021)
Consumer Discretionary,(0.008),0.490 ,(0.041),(0.066)
Real Estate,0.049 ,0.443 ,(0.063),(0.001)
Communication Services,(0.007),(0.013),0.000 ,(0.001)
Materials,(0.017),0.195 ,(0.045),(0.105)
Financials,0.009 ,0.125 ,(0.078),0.011 
Utilities,0.108 ,0.188 ,0.059 ,0.066 
Consumer Staples,(0.001),0.182 ,(0.094),(0.013)
Energy,(0.005),(0.005),(0.002),(0.007)
All,(0.001),0.120 ,(0.016),(0.014)
