sector,Q42019,Q12020,Q22020,Q32020
Information Technology,0.000 ,0.000 ,0.000 ,0.000 
Industrials,(0.026),(0.025),(0.024),(0.022)
Health Care,0.000 ,0.000 ,0.000 ,0.000 
Consumer Discretionary,(0.022),(0.017),0.000 ,0.000 
Real Estate,(0.147),(0.139),(0.123),(0.126)
Communication Services,(0.018),0.000 ,0.000 ,0.000 
Materials,(0.042),(0.040),(0.041),(0.040)
Financials,(0.049),(0.048),(0.047),(0.047)
Utilities,(0.063),(0.061),(0.065),(0.065)
Consumer Staples,(0.052),(0.053),(0.051),(0.043)
Energy,(0.017),(0.006),0.000 ,0.000 
All,(0.030),(0.025),(0.015),(0.012)
