sector,Q42019,Q12020,Q22020,Q32020
Information Technology,0.001 ,0.012 ,0.000 ,0.032 
Industrials,0.000 ,0.003 ,0.000 ,0.005 
Health Care,0.004 ,0.005 ,0.006 ,0.024 
Consumer Discretionary,0.000 ,(0.001),0.002 ,0.005 
Real Estate,0.007 ,0.013 ,0.003 ,0.004 
Communication Services,0.001 ,0.002 ,0.003 ,0.005 
Materials,0.000 ,0.002 ,0.000 ,0.002 
Financials,(0.006),0.002 ,(0.002),0.002 
Utilities,0.004 ,0.012 ,0.006 ,0.004 
Consumer Staples,0.001 ,0.003 ,0.000 ,0.003 
Energy,0.000 ,0.004 ,0.000 ,0.002 
All,0.000 ,0.004 ,0.001 ,0.006 
