sector,Q42019,Q12020,Q22020,Q32020
Information Technology,(0.032),(0.017),(0.037),0.010 
Industrials,(0.036),(0.035),(0.038),(0.015)
Health Care,0.001 ,0.003 ,0.000 ,0.007 
Consumer Discretionary,(0.048),(0.042),0.000 ,0.002 
Real Estate,(0.095),(0.097),(0.098),(0.083)
Communication Services,(0.023),(0.016),(0.018),0.000 
Materials,(0.046),(0.033),(0.043),(0.030)
Financials,(0.083),(0.039),(0.046),(0.045)
Utilities,(0.050),(0.039),(0.059),(0.056)
Consumer Staples,(0.058),(0.059),(0.059),(0.048)
Energy,(0.034),(0.019),(0.001),0.000 
All,(0.043),(0.032),(0.033),(0.006)
