sector,Q42019,Q12020,Q22020,Q32020
Information Technology,(0.044),0.036 ,(0.112),(0.024)
Industrials,(0.069),0.103 ,(0.148),(0.076)
Health Care,(0.009),0.064 ,(0.010),(0.025)
Consumer Discretionary,(0.077),0.443 ,(0.098),(0.087)
Real Estate,(0.041),0.520 ,(0.170),(0.063)
Communication Services,(0.057),(0.059),(0.002),0.003 
Materials,(0.096),0.128 ,(0.088),(0.136)
Financials,(0.110),0.068 ,(0.138),(0.025)
Utilities,0.070 ,0.148 ,0.024 ,0.019 
Consumer Staples,(0.093),0.104 ,(0.208),(0.094)
Energy,(0.087),(0.044),(0.024),(0.037)
All,(0.054),0.112 ,(0.092),(0.049)
