Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
DDD,101.91,92.692,90.421,77.627,75.514
MMM,20398,21299,23342,21617,20455
EGHT,302.945,377.971,398.833,393.535,396.813
AOS,371,334.7,391.2,330.1,159.9
AAON,0,6.32,6.33,6.34,6.351
AIR,293.8,299.9,684.6,323.1,
ABT,20001,19099,18272,19679,18563
ABBV,38777,67088,67046,87432,87059
ANF,1760.539,1767.426,1933.799,1744.598,
ABMD,12.703,12.621,12.22,12.117,11.49
ABM,808.9,1051.3,1379.7,935,
ACHC,3732.286,3730.972,3695.241,3680.551,3675.912
AKR,1800.585,1842.615,1960.248,1905.575,1885.219
ACN,3382.071,3410.209,3512.221,3485.513,
ACIW,1493.106,1458.437,1437.458,1408.743,1345.346
ATVI,2950,2948,2675,2676,3604
AYI,422.4,470.9,466.2,475.1,
ADUS,78.705,81.427,81.131,80.07,103.69
ADNT,3738,4130,4897,4853,4646
ADBE,4138.267,4711,4697,4726,
ATGE,576.712,648.136,726.231,516.791,530.125
ADTN,44.322,33.094,7.518,5.988,5.519
AAP,3188.357,3242.461,4182.09,3712.807,3490.479
AEIS,456.018,447.877,448.274,442.265,441.141
AMD,1111,728,699,894,578
ASIX,403.852,435.534,466.363,509.348,424.71
ACM,3316.347,4388.046,3038.232,2977.124,2807.297
AEGN,366.894,348.513,371.262,315.347378,294.333
AJRD,693,688.1,678.2,672.9,667.4
AVAV,9.133,9.639,10.213,14.822,
AMG,1974.8,1982.2,2044.9,2042.8,2310.8
AFL,6233,6569,6758,7771,7825
AGCO,1989.6,1552.6,2036.4,1894.8,1702.3
A,2407,2654,2677,2508,
AGYS,14.861,14.09,15.385,14.495,14.598
ADC,944.888,888.51,1038.509,796.049,1162.208
APD,3326,3705.8,3706,8590.8,8314.3
AKAM,2207.157,2671.435,2671.192,2685.093,2708.658
ALG,158.952,456.942,502.358,450.054,384.961
ALRM,105.975,107.882,162.067,159.684,159.075
ALK,3353,3207,3903,4285,5425
AIN,457.133,466.973,491.022,435.017,418.012
ALB,2063.14,3188.08,3283.899,3676.449,3678.727
ALEX,755.4,726.2,840.7,788.4,783.3
ARE,7008.297,7049.287,7598.308,7814.98,8149.216
ALXN,2700.1,2757.5,2632.8,2607.8,2767.7
ALGN,57.071,59.2,73.97,71.479,86.192
Y,1935.603,1992.213,1514.381,2017.903,2041.61
ATI,1553.8,1496.7,1700.7,1529.7,1541.2
ABTX,279.388,194.779,309.267,374.281,275.417
ALGT,1376.116,1445.805,1560.488,1602.599,1665.529
ALLE,1427.1,1509.1,1507.3,1502.9,1461.2
ALE,1648,1642.5,1749.8,1916.1,2036.5
ADS,22548.9,22599.9,21127.4,19731.7,17593.7
LNT,6558.5,6543.6,6461.6,6765.2,7003
MDRX,1038.303,1033.895,1181.163,1163.128,1195.524
GOOGL,13748,15967,16804,17279,27542
GOOG,13748,15967,16804,17279,27542
MO,27903,28042,29971,29042,29255
AMZN,74591,77535,78151,90671,96089
AMBC,7337.7,7405,7023,6874,6906
AMCX,3353.167,3341.235,3148.661,3136.403,3110.159
AMCR,6367.3,6790.4,7104.7,6784.4,7044
AMED,324.002,326.08,473.455,494.992,404.268
AEE,9569,9833,10350,10648,10801
AAL,34440,33444,34073,40049,41205
AAT,1363.849,1363.039,1333.709,1432.285,1437.153
AXL,3793.6,3766.8,3733.4,4135.1,3581.9
ACC,3832.948,3870.92,4018.062,3989.142,4074.587
AEO,1646.131,1600.896,2274.634,2118.979,
AEP,29736.5,30839.3,33327.4,32776.9,33391.1
AEL,787.224,652.381,759.249,573.352,573.565
AXP,61292,64277,56085,50364,46493
AFG,1607,1653,1655,2096,2283
AIG,35262,36083,36710,39280,38237
APEI,10.669,11.778,11.222,10.656,9.471
AWR,489.222,499.928,526.309,542.651,544.674
AMT,28406.7,31060.3,31192,31796.3,31694
AVD,177.311,160.173,179.104,169.597,161.653
AWK,9247,9547,10402,10666,10778
AMWD,711.77,697.016,728.487,727.991,
CRMT,216.495,224.599,278.378,281.069,
AMP,5215,5169,3920,4524,4934
ABCB,1538.041,1589.166,1681.421,1554.59,1008.218
AMSF,0.536,0.484,0,0,0
ABC,4493.41,4706.662,4671.152,4661.846,4597.614
AME,2609.202,2954.386,3426.951,3039.158,2973.345
AMGN,30277,30431,31848,34224,34287
AMN,723.186,722.311,1192.88,1064.903,1000.92
AMPH,65.078,66.625,66.579,64.708,66.243
APH,4135.6,3806.1,5092.4,3766.1,3815.2
ADI,5491.919,5794.19,5907.394,5912.506,
ANGO,4.584,23.944,50.422,50.352,
ANIP,187.096,186.238,200.406,190.691,188.376
ANIK,22.712,22.508,23.426,73.076,47.758
ANSS,107.873,608.499,549.342,546.368,545.9
AM,2657.75,2892.249,3103.762,3088.785,3121.817
ANTM,20870,20725,22679,22484,21833
AON,8408,8569,9221,9174,8857
APA,8713,8932,9014,8940,9044
AIV,4334.41,4562.897,4802.532,4892.183,4406.797
APOG,309.164,272.335,262.176,223.269,
ARI,3590.823,4127.9,4589.613,4473.86,4514.139
AAPL,108047,116751,118761,122186,122278
AIT,1045.669,1039.187,1034.96,1028.946,871.478
AMAT,5313,5474,7059,5706,
AAOI,137.977,142.339,149.124,153.925,158.961
