,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
DDD,0,0,0,0,0
MMM,1.44,1.44,1.47,1.47,1.47
EGHT,0,0,0,0,0
AOS,0.22,0.24,0.24,0.24,0.24
AAON,0,0.16,0,0.19,0
AIR,0.075,0.075,0.075,#N/A,
ABT,0.32,0.36,0.36,0.36,0.36
ABBV,1.07,1.18,1.18,1.18,1.18
ANF,0.2,0.2,0.2,#N/A,
ABMD,0,0,0,0,0
ABM,0.18,0.185,0.185,0.185,
ACHC,0,0,0,0,0
AKR,0.28,0.29,0.29,0,0
ACN,0.8,0.8,0.8,0.8,
ACIW,0,0,0,0,0
ATVI,0,0.37,0,0,0
AYI,0.13,0.13,0.13,0.13,
ADUS,0,0,0,0,0
ADNT,0,0,0,0,0
ADBE,0,0,0,0,
ATGE,0,0,0,0,0
ADTN,0.09,0.09,0.09,0.09,0.09
AAP,0.06,0.06,0.25,0.25,0.25
AEIS,0,0,0,0,0
AMD,0,0,0,0,0
ASIX,0,0,0,0,0
ACM,0,0,0,0,0
AEGN,0,0,0,0,0
AJRD,0,0,0,0,0
AVAV,0,0,0,0,
AMG,0.32,0.32,0.32,0.01,0.01
AFL,0.27,0.27,0.28,0.28,0.28
AGCO,0.16,0.16,#N/A,0.16,0.16
A,0.164,0.18,0.18,0.18,
AGYS,0,0,0,0,0
ADC,0.57,0.585,0.585,0.6,0.6
APD,1.16,1.16,1.34,1.34,1.34
AKAM,0,0,0,0,0
ALG,0.12,0.12,0.13,0.13,0.13
ALRM,0,0,0,0,0
ALK,0.35,0.35,0.375,0,0
AIN,0.18,0.19,0.19,0.19,0.19
ALB,0.3675,0.3675,0.385,0.385,0.385
ALEX,0.19,0.19,0.19,#N/A,#N/A
ARE,1,1.03,1.03,1.06,1.06
ALXN,0,0,0,0,0
ALGN,0,0,0,0,0
Y,0,0,0,0,0
ATI,0,0,0,0,0
ABTX,0,0,0.1,0.1,0.1
ALGT,0.7,0.7,0.7,#N/A,#N/A
ALLE,0.27,0.27,0.32,0.32,0.32
ALE,0.5875,0.5875,0.6175,0.6175,0.6175
ADS,0.63,0.63,0.63,0.21,0.21
LNT,0.355,0.355,0.38,0.38,0.38
MDRX,0,0,0,0,0
GOOG.L,#N/A,,,,
GOOG,0,0,0,0,0
MO,0.84,0.84,0.84,0.84,0.86
AMZN,0,0,0,0,0
AMBC,0,0,0,0,0
AMCX,0,0,0,0,0
AMCR,0.12,0.115,0.115,0.115,0.115
AMED,0,0,0,0,0
AEE,0.475,0.495,0.495,0.495,0.495
AAL,0.1,0.1,0.1,#N/A,#N/A
AAT,0.28,0.3,0.3,0.2,0.25
AXL,0,0,#N/A,#N/A,#N/A
ACC,0.47,0.47,#N/A,0.47,0.47
AEO,0.1375,0.1375,0.1375,#N/A,
AEP,0.67,0.7,#N/A,0.7,0.7
AEL,0,0.3,0,0,0
AXP,0.43,0.43,0.43,0.43,0.43
AFG,0.4,0.45,0.45,0.45,0.45
AIG,0.32,0.32,0.32,0.32,0.32
APEI,0,0,0,0,0
AWR,0.305,0.305,0.305,0.305,0.335
AMT,0.95,1.01,1.08,1.1,1.14
AVD,0.02,0.02,0.02,#N/A,#N/A
AWK,0.5,0.5,0.55,0.55,0.55
AMWD,0,0,0,0,
CRMT,0,0,0,0,
AMP,0.97,0.97,0.97,1.04,1.04
ABCB,0.15,0.15,0.15,0.15,0.15
AMSF,0.25,0.25,0.27,0.27,0.27
ABC,0.4,0.4,0.42,0.42,0.42
AME,0.14,0.14,0.18,0.18,0.18
AMGN,1.45,1.45,1.6,1.6,1.6
AMN,0,0,0,0,0
AMPH,0,0,0,0,0
APH,0.25,0.25,0.25,0.25,0.25
ADI,0.54,0.54,0.62,0.62,
ANGO,0,0,0,0,
ANIP,0,0,0,0,0
ANIK,0,0,0,0,0
ANSS,0,0,0,0,0
AM,0.3075,0.3075,#N/A,0.3075,0.3075
ANTM,0.8,0.8,0.95,0.95,0.95
AON,0.44,0.44,#N/A,0.44,0.44
APA,0.25,0.25,0.025,0.025,0.025
AIV,0.4829,0.4829,0.50766,0.50766,0.50766
APOG,0.175,0.1875,0.1875,0.1875,
ARI,0.46,0.46,0.4,0.35,0.35
AAPL,0.1925,0.1925,0.1925,0.205,0.205
AIT,0.31,0.32,0.32,0.32,0.32
AMAT,0.21,0.21,0.22,0.22,
AAOI,0,0,0,0,0
ATR,0.36,0.36,#N/A,0.36,0.36
APTV,0.22,0.22,0.22,#N/A,#N/A
ARCB,0.08,0.08,0.08,0.08,0.08
ADM,0.35,0.35,0.36,0.36,0.36
AROC,0.145,0.145,0.145,0.145,0.145
ARNC,#N/A,#N/A,#N/A,#N/A,#N/A
ACA,0.05,0.05,0.05,0.05,0.05
ANET,0,0,0,0,0
ARLO,0,0,0,0,0
AHH,0.21,0.21,0.22,0,0.11
ARR,0.51,0.51,0.51,0.09,0.3
ARW,0,0,0,0,0
ARWR,0,0,0,0,0
AJG,0.43,0.43,0.45,0.45,0.45
ABG,0,0,0,0,0
ASGN,0,0,0,0,0
ASH,0.275,0.275,0.275,0.275,0.275
ASB,0.17,0.18,0.18,0.18,0.18
AIZ,0.6,0.63,#N/A,0.63,0.63
AGO,0.18,0.18,0.2,0.2,0.2
ASTE,0.11,0.11,0.11,0.11,0.11
T,0.51,0.52,0.52,0.52,0.52
AAWW,0,0,0,0,0
ATO,0.525,0.575,0.575,0.575,0.575
ATNI,0.17,0.17,0.17,0.17,0.17
ADSK,0,0,0,0,
ADP,0.79,0.91,0.91,0.91,0.91
AN,0,0,0,0,0
AZO,0,0,0,0,
AVB,1.52,1.52,1.59,1.59,1.59
AVNS,0,0,0,0,0
AVY,0.58,0.58,0.58,0.58,0.58
AVNT,0.195,0.2025,0.2025,0.2025,0.2025
CAR,0,0,0,0,0
AVA,0.3875,0.3875,0.405,0.405,0.405
AVT,0.21,0.21,0.21,0.21,0.21
ACLS,0,0,0,0,0
AAXN,0,0,0,0,0
AX,0,0,0,0,0
AZZ,0.17,0.17,0.17,0.17,
BGS,0.475,0.475,0.475,0.475,0.475
BMI,0.17,0.17,0.17,0.17,0.18
BKR,0.18,0.18,0.18,0.18,0.18
BCPC,0,0.52,#N/A,#N/A,#N/A
BLL,0.15,0.15,0.15,0.15,0.15
BANC,0.06,0.06,0.06,0.06,0.06
BANF,0.32,0.32,0.32,0.32,0.34
BXS,0.185,0.185,0.185,0.185,0.185
BAC,0.18,0.18,0.18,0.18,0.18
BOH,0.65,0.67,0.67,0.67,0.67
OZK,0.24,0.25,0.26,0.27,0.2725
BKU,0.21,0.21,0.23,0.23,0.23
BANR,0.41,0.41,0.41,0.41,0.41
BNED,0,0,0,0,
B,0.16,0.16,0.16,0.16,0.16
BAX,0.22,0.22,0.22,0.245,0.245
BDX,0.77,0.79,0.79,0.79,0.79
BBBY,0.17,0.17,#N/A,#N/A,
BELF.B,#N/A,,,,
BDC,0.05,0.05,0.05,0.05,0.05
BHE,0.15,0.15,0.16,0.16,0.16
BRK.B,0,0,0,0,0
BHLB,0.23,0.23,0.24,0.24,0.12
BBY,0.5,0.5,0.55,0.55,
BIG,0.3,0.3,0.3,0.3,
BIIB,0,0,0,0,0
