,2015 EBITDA,2016 EBITDA,2017 EBITDA,2018 EBITDA,2019 EBITDA
DDD,-21.676,22.115,8.068,16.102,-6.81
MMM,8306,8493,8770,9262,8567
EGHT,8.995,3.533,3.768,-16.71,-66.317
AOS,456.4,526.5,589.8,623,545.1
AAON,82.984,92.609,89.155,72.994,90.114
AIR,62.2,115.8,115.4,126.5,141.1
ABT,4421,4602,4993,7122,7605
ABBV,9277,10984,12065,13903,15932
ANF,389.78,281.092,186.125,299.025,308.929
ABMD,33.046,69.434,97.93,169.479,238.018
ABM,143.3,163.7,198.6,303.3,326.9
ACHC,384.36,580.245,580.892,571.575,568.576
AKR,110.213,91.9,136.708,145.09,173.625
ACN,5130.967,5516.493,6063.031,6918.66,7246.167
ACIW,227.618,178.162,236.011,223.261,284.459
ATVI,1799,2596,2508,2989,2317
AYI,434.5,557.9,604.7,546.7,553
ADUS,23.071,21.882,32.064,36.007,50.026
ADNT,1045,1059,1115,645,467
ADBE,1187.791,1806.314,2461.24,3138.214,3964.918
ATGE,292.159,288.261,257.595,283.306,223.425
ADTN,27.724,49.142,54.872,-29.531,-13.536
AAP,1146.531,1067.644,848.55,901.859,917.851
AEIS,115.686,134.67,210.194,189.384,110.704
AMD,-164,-336,211,626,847
ASIX,133.77,94.206,202.849,146.496,119.043
ACM,1003.513,901.836,810.211,770.062,626.232
AEGN,117.205,109.295,113.987,100.158,96.086
AJRD,150.3,160.6,185.9,285.5,315.1
AVAV,10.818,16.741,25.492,36.398,45.892
AMG,929.5,765,847.4,914.5,877.8
AFL,#N/A,#N/A,#N/A,#N/A,#N/A
AGCO,646.1,573.9,707.6,807,805.6
A,802,982,1054,1117,1172
AGYS,-1.966,0.882,2.051,4.394,5.901
ADC,53.803,72.423,92.644,123.087,166.39
APD,2806.7,2425.1,2530.8,2886.1,3203.3
AKAM,768.336,805.225,767.64,844.216,1008.665
ALG,100.523,88.42,109.202,124.202,126.553
ALRM,23.69,21.104,52.073,36.25,75.438
ALK,1675,1838,1711,1130,1543
AIN,156.765,167.232,172.75,231.74,268.557
ALB,730.682,735.806,819.488,925.01,898.807
ALEX,152.4,106.1,83.3,243.6,86.1
ARE,513.796,568.419,714.809,965.818,1140.038
ALXN,725,1106,1451.1,2019,2479.9
ALGN,206.638,272.923,391.35,521.291,617.858
Y,#N/A,#N/A,#N/A,#N/A,#N/A
ATI,19.2,86.9,412.8,516.2,527.6
ABTX,#N/A,#N/A,#N/A,#N/A,#N/A
ALGT,468.507,474.728,387.596,372.81,519.802
ALLE,438.3,490.1,567.4,626.2,668.1
ALE,421.8,409,406.6,404.8,381.8
ADS,1827.2,1776.4,2120.7,1949.9,1696.2
LNT,990.7,1030.2,1136.9,1211.9,1344.9
MDRX,199.948,240.38,167.15,171.609,238.112
GOOG.L,#N/A,,,,
GOOG,23024,29321,35966,40566,47254
MO,8717,9257,9946,9693,10785
AMZN,8051,10406,13517,25330,30457
AMBC,#N/A,#N/A,#N/A,#N/A,#N/A
AMCX,1571.785,1718.934,1823.116,1854.299,1870.314
