,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
DDD,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
MMM,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
EGHT,Information Technology,Software & Services,Software,Application Software
AOS,Industrials,Capital Goods,Building Products,Building Products
AAON,Industrials,Capital Goods,Building Products,Building Products
AIR,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ABT,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
ABBV,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
ANF,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
ABMD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
ABM,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
ACHC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
AKR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
ACN,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
ACIW,Information Technology,Software & Services,Software,Application Software
ATVI,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
AYI,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
ADUS,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
ADNT,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
ADBE,Information Technology,Software & Services,Software,Application Software
ATGE,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
ADTN,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
AAP,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
AEIS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
AMD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
ASIX,Materials,Materials,Chemicals,Commodity Chemicals
ACM,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AEGN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AJRD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AVAV,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AMG,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
AFL,Financials,Insurance,Insurance,Life & Health Insurance
AGCO,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
A,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
AGYS,Information Technology,Software & Services,Software,Application Software
ADC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
APD,Materials,Materials,Chemicals,Industrial Gases
AKAM,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
ALG,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
ALRM,Information Technology,Software & Services,Software,Application Software
ALK,Industrials,Transportation,Airlines,Airlines
AIN,Industrials,Capital Goods,Machinery,Industrial Machinery
ALB,Materials,Materials,Chemicals,Specialty Chemicals
ALEX,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
ARE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
ALXN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
ALGN,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
Y,Financials,Insurance,Insurance,Reinsurance
ATI,Materials,Materials,Metals & Mining,Steel
ABTX,Financials,Banks,Banks,Regional Banks
ALGT,Industrials,Transportation,Airlines,Airlines
ALLE,Industrials,Capital Goods,Building Products,Building Products
ALE,Utilities,Utilities,Electric Utilities,Electric Utilities
ADS,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
LNT,Utilities,Utilities,Electric Utilities,Electric Utilities
MDRX,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
GOOG.L,#N/A,#N/A,#N/A,#N/A
GOOG,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
MO,Consumer Staples,Food Beverage & Tobacco,Tobacco,Tobacco
AMZN,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
