,Q3 2019 Shareholder's Equity,Q4 2019 Shareholder's Equity,Q1 2020 Shareholder's Equity,Q2 2020 Shareholder's Equity,Q3 2020 Shareholder's Equity
DDD,514.749,522.159,488.669,463.428,428.518
MMM,10702,10063,10147,10857,11880
EGHT,238.877,219.491,190.731,178.866,174.459
AOS,1656.2,1666.8,1616.3,1658.1,1747.1
AAON,279.567,290.14,306.323,322.695,344.892
AIR,921.7,929.4,902.6,890.6,
ABT,31817,31088,30218,30578,31386
ABBV,-8226,-8172,-7415,14708,15270
ANF,983.512,1058.81,790.239,805.681,
ABMD,991.457,1046.863,1065.466,1101.848,1182.409
ABM,1542,1559.7,1395.2,1451.3,
ACHC,2420.691,2505.381,2464.167,2503.338,2606.639
AKR,1519.582,1542.308,1434.464,1455.592,1453.23
ACN,15167.138,15474.589,16014.606,17000.536,
ACIW,1058.937,1129.968,1067.798,1090.737,1122.844
ATVI,12235,12805,13021,13682,14382
AYI,1987.3,2045.1,2095.7,2127.5,
ADUS,469.988,475.592,486.808,494.861,507.6
ADNT,1848,1743,1541,1250,1213
ADBE,10530.155,10465,10881,11713,
ATGE,1327.193,1294.912,1294.559,1310.421,1330.971
ADTN,394.955,380.426,363.715,364.194,369.593
AAP,3454.942,3549.081,3537.029,3726.519,3762.664
AEIS,659.627,676.714,685.397,717.813,768.152
AMD,2176,2827,3037,3305,3867
ASIX,417.226,400.878,407.836,420.787,421.034
ACM,3690.576,3673.002,3531.502,3744.894,3292.558
AEGN,431.868,427.759,412.829,422.058,399.607
AJRD,566.7,576.7,616.8,671.3,708.9
AVAV,490.36,490.741,509.901,519.929,
AMG,3070,2937.5,2980,2854.7,2848.9
AFL,29438,28959,26402,29420,32479
AGCO,2976.6,2853.8,2642.1,2676.1,2809.7
A,4748,4848,4768,4981,
AGYS,98.365,96.936,71.757,71.35,113.383
ADC,1488.219,1689.331,1755.086,2184.101,2263.57
APD,11053.6,11556,11371.9,11659.3,12079.8
AKAM,3501.6,3657.958,3672.218,3904.295,4107.617
ALG,551.052,569.757,560.409,577.151,605.213
ALRM,336.166,355.651,366.216,393.253,438.716
ALK,4252,4331,4015,3861,3454
AIN,659.53,698.683,666.961,703.311,746.809
ALB,3836.559,3932.25,3878.004,4024.472,4124.881
ALEX,1124.8,1125.1,1107.8,1104.6,1110.2
ARE,7790.232,8865.826,9322.586,9431.44,10701.814
ALXN,10367.2,11271.8,11747.8,10490.8,11074.9
ALGN,1305.549,1346.169,2852.989,2845.045,3033.471
Y,8828.658,8776.734,7857.062,8456.239,8596.395
ATI,2168,2090.1,2087.8,1735.3,1733.7
ABTX,706.308,709.865,706.593,736.143,753.053
ALGT,826.608,883.551,809.903,736.56,711.698
ALLE,685,757.4,611.3,677.5,824.3
ALE,2207.8,2231.9,2271.1,2265.7,2281
ADS,1496.9,1588.3,1087.7,1154.6,1322.6
LNT,5169.2,5405.1,5702.4,5748.3,5909
MDRX,1281.058,1285.188,1241.78,1242.929,1208.387
GOOG.L,#N/A,,,,
GOOG,194969,201442,203659,207322,212920
MO,10545,6222,6543,5688,3139
AMZN,56508,62060,65272,73728,82775
AMBC,1568.696,1477,1002,1069,1035
AMCX,628.124,665.781,613.548,651.916,747.603
AMCR,5424.2,5339.7,4739.6,4625.9,4687
AMED,602.564,640.45,679.197,720.851,756.205
AEE,8062,8059,8085,8227,8489
