Symbol,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
MMM,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
ABT,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
ABBV,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
ABMD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
ACN,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
ATVI,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
ADBE,Information Technology,Software & Services,Software,Application Software
AMD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
AAP,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
AES,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
AFL,Financials,Insurance,Insurance,Life & Health Insurance
A,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
APD,Materials,Materials,Chemicals,Industrial Gases
AKAM,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
ALK,Industrials,Transportation,Airlines,Airlines
ALB,Materials,Materials,Chemicals,Specialty Chemicals
ARE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
ALXN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
ALGN,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
ALLE,Industrials,Capital Goods,Building Products,Building Products
LNT,Utilities,Utilities,Electric Utilities,Electric Utilities
ALL,Financials,Insurance,Insurance,Property & Casualty Insurance
GOOGL,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
GOOG,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
MO,Consumer Staples,Food Beverage & Tobacco,Tobacco,Tobacco
AMZN,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
