Symbol,Q3 2019 Share Price,Q4 2019 Share Price,Q1 2020 Share Price,Q2 2020 Share Price,Q3 2020 Share Price
MMM,164.4,176.42,136.51,155.99,160.18
ABT,83.67,86.86,78.91,91.43,108.83
ABBV,75.72,88.54,76.19,98.18,87.59
ABMD,177.89,170.59,145.16,241.56,277.06
ACN,201.16,180.59,201.62,239.93,
ATVI,52.92,59.42,59.48,75.9,80.95
ADBE,309.53,345.12,386.6,513.39,
AMD,28.99,45.86,45.48,52.61,81.99
AAP,165.4,160.16,120.91,150.14,153.5
AES,16.34,19.9,13.6,14.49,18.11
AFL,52.32,52.9,34.24,36.03,36.35
A,75.75,82.56,76.66,96.33,
APD,221.86,234.99,199.61,241.46,297.86
AKAM,91.38,86.38,91.49,107.09,110.54
ALK,64.91,67.75,28.47,36.26,36.63
ALB,69.52,73.04,56.37,77.21,89.28
ARE,154.04,161.58,137.06,162.25,160
ALXN,97.94,108.15,89.79,112.24,114.43
ALGN,180.92,279.04,173.95,274.44,327.36
ALLE,103.65,124.54,92.02,102.22,98.91
LNT,53.93,54.72,48.29,47.84,51.65
ALL,108.68,112.45,91.73,96.99,94.14
GOOGL,1221.14,1339.39,1161.95,1418.05,1465.6
GOOG,1219,1337.02,1162.81,1413.61,1469.6
MO,40.9,49.91,38.67,39.25,38.64
AMZN,1735.91,1847.84,1949.72,2758.82,3148.73
AMCR,9.75,10.84,8.12,10.21,11.05
AEE,80.05,76.8,72.83,70.36,79.08
AAL,26.97,28.68,12.19,13.07,12.29
AEP,93.69,94.51,79.98,79.64,81.73
AXP,118.28,124.49,85.61,95.2,100.25
AIG,55.7,51.33,24.25,31.18,27.53
AMT,221.13,229.82,217.75,258.54,241.73
AWK,124.23,122.85,119.56,128.66,144.88
AMP,147.1,166.58,102.48,150.04,154.11
ABC,82.33,85.02,88.5,100.77,96.92
AME,91.82,99.74,72.02,89.37,99.4
AMGN,193.51,241.07,202.73,235.86,254.16
APH,96.5,108.23,72.88,95.81,108.27
ADI,106.63,109.75,109.6,114.85,
ANSS,221.36,257.41,232.47,291.73,327.23
ANTM,240.1,302.03,227.04,262.98,268.59
AON,193.57,208.29,165.04,192.6,206.3
AOS,47.71,47.64,37.81,47.12,52.8
APA,25.6,25.59,4.18,13.5,9.47
AIV,52.14,51.65,35.15,37.64,33.72
AAPL,55.9925,73.4125,63.5725,91.2,115.81
AMAT,54.26,57.99,49.68,64.33,
APTV,87.42,94.97,49.24,77.92,91.68
ADM,41.07,46.35,35.18,39.9,46.49
ANET,238.92,203.4,202.55,210.03,206.93
AJG,89.57,95.23,81.51,97.49,105.58
AIZ,125.82,131.08,104.09,103.29,121.31
T,37.84,39.08,29.15,30.23,28.51
ATO,113.89,111.86,99.23,99.58,95.59
ADSK,147.36,196.85,187.13,236.43,
ADP,161.42,170.5,136.68,148.89,139.49
AZO,1177.92,1032.51,1020.32,1196.31,
