Symbol,Q3 2019 Shares Outstanding,Q4 2019 Shares Outstanding,Q1 2020 Shares Outstanding,Q2 2020 Shares Outstanding,Q3 2020 Shares Outstanding
MMM,575.27905,575.051,575.261,575.19635,576.0195
ABT,1767.398,1767.398,1763.433,1768.8453,1770.53
ABBV,1478.4839,1478.821,1476.673,1762.3422,1764.8333
ABMD,45.377,45.155,45.063,44.95696,45.04726
ACN,635.0435,635.0435,637.027,636.19666,
ATVI,767.026,768.26,769.222,770.4855,771.8721
ADBE,484.079,487.72592,481.801,479.66525,
AMD,1085.546,1113.628,1170.852,1171.1904,1174.0568
AAP,71.38699,69.2594,69.089,69.10122,69.13876
AES,663.85,663.893,664.768,664.9075,665.13116
AFL,740.383,734.018,722.521,717.50793,703.574
A,309.46768,310.183,309.651,308.7774,
APD,220.355,220.486,220.678,220.85464,220.89438
AKAM,162,161.601,161.882,162.27448,162.70486
ALK,123.272,123.077,122.585,122.58537,123.63973
ALB,105.986,106.033,106.319,106.319,106.35799
ARE,113.418,115.15073,126.19484,126.19484,126.11457
ALXN,224.227,221.291,222.1,220.82744,219.17299
ALGN,79.871,78.813,78.753,78.762955,78.78668
ALLE,93.376,92.917,92.601,92.22023,92.23344
LNT,240.34296,244.6276,249.50375,249.50375,249.64435
ALL,329.1918,319,316.914,314.1161,312.31616
GOOGL,299.624,299.828,299.89517,300.05045,300.47116
GOOG,347.345,342.066,337.518,336.1623,333.6311
MO,1868.096,1868.127,1858.367,1858.368,1858.3972
AMZN,494.656,498,497.856,498.77603,500.88965
AMCR,1614.958,1620.142,1604.0472,1574.4374,1568.4816
AEE,245.80333,246.03,246.737,246.89104,247.07953
AAL,445.271,428.2,426.05875,508.1095,508.5617
AEP,493.795,494.16946,494.833,495.58313,496.15543
AXP,821,810,805.778,804.9715,805.16113
AIG,869.908,869.952,861.2901,861.29065,861.4339
AMT,442.685,442.94,442.912,443.30643,443.57065
AWK,180.653,180.776,180.975,181.02292,181.20407
AMP,127.4051,126.69559,122.969,122.33725,120.26887
ABC,206.76065,205.92218,205.892,203.40277,204.1418
AME,228.346,228.593,229.19,229.4321,229.6304
AMGN,599.70123,594.184,589.807,588.2474,585.6938
APH,297.448,296.492,298.101,295.89438,298.37686
ADI,369.406,368.954,368.22,368.95444,
ANSS,84.101,85.58129,85.914,85.595436,85.78924
ANTM,255.817,253.564,252.137,252.1161,251.50645
AON,235.84189,232.0515,231.31201,231.08684,231.65033
AOS,138.35043,137.05902,135.96,135.09563,135.37509
APA,375.959,376.036,377.316,377.42603,377.45865
AIV,148.884,148.885,148.93,148.86415,148.86505
AAPL,18076.72,17773.06,17501.92,17135.756,16976.764
AMAT,923.7538,918.607,918.305,916.4793,
APTV,256.193,255.288,255.219,270.02536,270.02536
ADM,556.974,556.686,557.208,555.4962,555.6469
ANET,76.6443,76.399,76.479225,75.70451,76.0256
AJG,186.07,186.523,189.607,189.621,191.5
AIZ,61.1309,60.635834,59.823753,59.652252,59.648075
T,7307,7254.555,7172.8843,7125,7125
ATO,118.20069,122.25929,122.307,122.311516,123.35498
ADSK,219.588,220.033,219.521,219.18356,
ADP,433.699,432.698,431.754,429.77438,429.84607
AZO,23.827,23.593,23.352,23.359377,
AVB,139.657,139.662,140.735,140.73134,140.74356
AVY,84.193,83.503,83.296,83.29597,83.46216
BKR,649.14014,649.869,653.741,655.0348,656.3252
BLL,332.003,327.12952,325.785,326.00177,326.56693
BAC,9079.265,8995.107,8728.53,8675.611,8664.098
BK,922.199,900.683,885.051,885.4428,885.8617
BAX,510.556,510.556,507.206,508.8362,506.23172
BDX,269.954,270.46,271.77637,289.86856,289.86856
BRK.B,1386.3115,1383.415,1382.352,1390.7074,1401.3564
BBY,263.57327,258.77744,257.50336,258.30905,
BIO,24.705,24.836,24.84,24.567291,24.586409
BIIB,184.44722,180.44188,174.06401,163.18748,158.31348
BLK,154.574,155.173,154.828,152.46024,152.48357
BA,562.71,562.791,564.226,564.3253,564.4487
BKNG,42.5119,41.4174,41.061813,40.930912,40.94863
BWA,206.515,206.493,206.704,207.30994,207.25418
BXP,154.568,154.622,155.122,155.36914,155.6338
BSX,1392.973,1393.824,1399.2,1428.7327,1430.6747
BMY,1635.767,2344.1848,2262.463,2262.6897,2259.7515
AVGO,396.671,397.7923,399.791,402.18527,
BR,114.283,114.646,114.803,114.81748,115.16151
BF.B,308.5,308.807,309.1,309.31433,
CHRW,135.378,135.25,131.3397,134.60999,134.82341
COG,418.39063,397.92468,398.5755,398.5755,398.5799
CDNS,280.153,280.593,280.168,279.187,278.794
CPB,301.187,301.655,301.745,302.16443,
COF,470.333,465.721,457.421,455.3101,456.63577
CAH,292.4042,292.488,291.784,291.98642,293.39355
KMX,164.43,163.385,162.74544,163.07776,
CCL,526.85077,527.6592,599.693,600.6634,
CARR,#N/A,#N/A,866.22345,866.15894,866.165
CTLT,146.256,146.309,156.129,163.93216,164.51006
CAT,552.6584,552.6584,550.083,541.2393,541.5066
CBOE,111.682,110.777,110.435,109.72034,108.75788
CBRE,336.336,334.752,334.791,335.1668,335.2778
CDW,144.715,143.681,142.772,142.31808,142.66966
CE,123.74035,120.874,119.566,118.2289,118.290665
CNC,413.605,413.796,586.811,579.1294,579.46954
CNP,502.219,502.242,502.6475,544.69244,544.819
