sector,Q42019,Q12020,Q22020,Q32020
Information Technology,0.0,0.0,0.0,0.0
Industrials,-0.0263991806826113,-0.0253481678558471,-0.0235406371276967,-0.0221067354011768
Health Care,0.0,0.0,0.0,0.0
Consumer Discretionary,-0.0218834764474975,-0.0173503735203436,0.0,0.0
Real Estate,-0.14662632528944,-0.139488888445914,-0.122995006075181,-0.126180031673152
Communication Services,-0.0181537306215742,0.0,0.0,0.0
Materials,-0.0416270580727505,-0.0402720259845717,-0.0405213981958922,-0.0403222518609564
Financials,-0.0490552703236401,-0.0482560936946346,-0.0473107189512052,-0.0465678677926133
Utilities,-0.0628315509832835,-0.0608330779833053,-0.0648973076640331,-0.0649187845136628
Consumer Staples,-0.051860767952608,-0.0529794479495268,-0.0509078770360675,-0.0426800431686745
Energy,-0.0170881905643648,-0.00600234952954233,0.0,0.0
All,-0.0300928818895871,-0.0250629436837628,-0.0147178925021566,-0.0117043883504111
