Symbol,Q3 2019 Shares Outstanding,Q4 2019 Shares Outstanding,Q1 2020 Shares Outstanding,Q2 2020 Shares Outstanding,Q3 2020 Shares Outstanding
DDD,118.15227,118.421,118.514,118.87817,121.1351
MMM,575.27905,575.051,575.261,575.19635,576.0195
EGHT,99.288,100.225914,102.45824,103.78508,104.234245
AOS,138.35043,137.05902,135.96,135.09563,135.37509
AAON,52.107,52.098,52.092,52.031532,52.261677
AIR,34.97,34.914,35.100697,35.30346,
ABT,1767.398,1767.398,1763.433,1768.8453,1770.53
ABBV,1478.4839,1478.821,1476.673,1762.3422,1764.8333
ANF,62.860157,62.748,61.59767,62.375866,
ABMD,45.377,45.155,45.063,44.95696,45.04726
ABM,66.416,66.416,66.631,66.66613,
ACHC,88.525,88.57,88.779396,88.9425,88.963135
AKR,86.644196,87.05047,86.84496,86.089836,86.26464
ACN,635.0435,635.0435,637.027,636.19666,
ACIW,116.71447,115.599,116.13,115.94485,116.38896
ATVI,767.026,768.26,769.222,770.4855,771.8721
AYI,39.623,39.62,39.641,39.637386,
ADUS,15.408135,15.559,15.559,15.559,15.799394
ADNT,93.621,93.6,93.793,93.87896,93.884384
ADBE,484.079,487.72592,481.801,479.66525,
ATGE,54.923,53.995,52.913986,51.80244,51.876305
ADTN,47.826,47.826,48.087,47.95753,47.95795
AAP,71.38699,69.2594,69.089,69.10122,69.13876
AEIS,38.309,38.309,38.407,38.265617,38.330837
AMD,1085.546,1113.628,1170.852,1171.1904,1174.0568
ASIX,27.815783,27.912,27.915,28.004332,28.030272
ACM,157.727,157.086,158.623,160.08585,160.38875
AEGN,30.894386,30.759,30.804,30.683558,30.771372
AJRD,78.676,78.692,78.542,78.52777,78.62128
AVAV,23.98,23.991,23.995,24.063602,
AMG,50.639553,49.27216,47.867764,47.238457,46.55308
AFL,740.383,734.018,722.521,717.50793,703.574
AGCO,76.24,75.522,75.465,74.86777,74.89645
A,309.46768,310.183,309.651,308.7774,
AGYS,23.675,23.659,23.657,23.400816,23.589518
ADC,42.412827,45.573624,47.00211,53.851093,53.851032
APD,220.355,220.486,220.678,220.85464,220.89438
AKAM,162,161.601,161.882,162.27448,162.70486
ALG,11.818,11.826,11.838,11.860233,11.86417
ALRM,48.487,48.572,48.747,48.756165,48.96576
ALK,123.272,123.077,122.585,122.58537,123.63973
AIN,30.7,30.7,30.7,30.7,30.7187
ALB,105.986,106.033,106.319,106.319,106.35799
ALEX,72.242,72.258,72.307,72.307,72.34822
ARE,113.418,115.15073,126.19484,126.19484,126.11457
ALXN,224.227,221.291,222.1,220.82744,219.17299
ALGN,79.871,78.813,78.753,78.762955,78.78668
Y,14.43,14.393,14.345,14.309682,14.312
ATI,126.079,126.085,126.62736,126.6298,126.6298
ABTX,20.737,20.810602,20.354,20.402966,20.431612
ALGT,16.306,16.288,16.37,16.200068,16.242332
ALLE,93.376,92.917,92.601,92.22023,92.23344
ALE,51.656,51.668,51.778,51.78741,51.880665
ADS,51.09761,46.056206,47.62761,47.62796,47.71502
LNT,240.34296,244.6276,249.50375,249.50375,249.64435
MDRX,163.219,162.366,162.701,162.55038,162.96927
GOOGL,299.624,299.828,299.89517,300.05045,300.47116
GOOG,347.345,342.066,337.518,336.1623,333.6311
MO,1868.096,1868.127,1858.367,1858.368,1858.3972
AMZN,494.656,498,497.856,498.77603,500.88965
AMBC,45.551,45.554,45.578,45.779,45.80914
AMCX,44.159317,44.074,44.078,40.556232,40.55733
AMCR,1614.958,1620.142,1604.0472,1574.4374,1568.4816
AMED,32.175,32.255,32.314,32.379166,32.46666
AEE,245.80333,246.03,246.737,246.89104,247.07953
AAL,445.271,428.2,426.05875,508.1095,508.5617
AAT,59.722157,59.957,60.068,60.06791,60.073917
AXL,112.47582,112.47582,113.038,113.08613,113.27299
ACC,137.402,137.40475,137.604,137.60445,137.6321
AEO,168.96306,166.98376,165.50043,165.50043,
AEP,493.795,494.16946,494.833,495.58313,496.15543
AEL,90.979,91.046,91.292,91.525955,91.95455
AXP,821,810,805.778,804.9715,805.16113
AFG,89.942,90.176,90.339,88.659,87.267
AIG,869.908,869.952,861.2901,861.29065,861.4339
APEI,16.047632,15.398238,14.926651,14.781231,14.797011
AWR,36.832,36.839,36.86,36.884,36.883873
AMT,442.685,442.94,442.912,443.30643,443.57065
AVD,30.199867,30.187,30.159,30.163788,30.179138
AWK,180.653,180.776,180.975,181.02292,181.20407
AMWD,16.92,16.922,16.925,16.94257,
CRMT,6.566321,6.605,6.614,6.824322,
AMP,127.4051,126.69559,122.969,122.33725,120.26887
ABCB,69.52,69.661,69.337,69.43937,69.48755
AMSF,19.298262,19.3,19.303,19.302784,19.331059
ABC,206.76065,205.92218,205.892,203.40277,204.1418
AME,228.346,228.593,229.19,229.4321,229.6304
AMGN,599.70123,594.184,589.807,588.2474,585.6938
AMN,46.662,46.711,46.854,46.97625,46.987617
AMPH,47.226498,46.938,46.238,46.198303,47.485546
APH,297.448,296.492,298.101,295.89438,298.37686
ADI,369.406,368.954,368.22,368.95444,
ANGO,37.62,37.626,37.695,37.86943,
ANIP,12.074,12.08,12.097,12.329884,12.304193
ANIK,13.782928,14.269,14.168,14.202273,14.207419
ANSS,84.101,85.58129,85.914,85.595436,85.78924
AM,506.897,484.042,484.08453,476.496,476.59705
ANTM,255.817,253.564,252.137,252.1161,251.50645
AON,235.84189,232.0515,231.31201,231.08684,231.65033
APA,375.959,376.036,377.316,377.42603,377.45865
AIV,120.242294,120.2431,120.27944,120.22626,120.22698
APOG,26.555,26.508,26.320282,26.35667,
ARI,153.5316,153.537,154.041,153.82278,147.6611
AAPL,18076.72,17773.06,17501.92,17135.756,16976.764
AIT,38.652,38.656,38.679,38.707,38.758926
AMAT,923.7538,918.607,918.305,916.4793,
AAOI,20.029,20.12,20.231,20.339548,22.773964
ATR,64.04124,63.927,65.04611,64.18675,64.47381
APTV,256.193,255.288,255.219,270.02536,270.02536
ARCB,25.52,25.507,25.336,25.26247,25.444939
ADM,556.974,556.686,557.208,555.4962,555.6469
AROC,151.97635,151.91,152.879,152.9257,152.94936
ARNC,#N/A,#N/A,#N/A,109.05288,109.069016
ACA,48.387,48.39,48.279,48.21082,48.339916
ANET,76.6443,76.399,76.479225,75.70451,76.0256
ARLO,74.863,75.78595,76.687775,78.02694,78.13675
AHH,54.87443,56.278,56.491,56.492058,57.933586
ARR,59.142,58.917,58.927,64.586296,64.68967
ARW,83.140366,81.449,78.66783,78.66783,77.626656
ARWR,95.301,100.308,101.654,101.77328,102.2918
AJG,186.07,186.523,189.607,189.621,191.5
ABG,19.348,19.348,19.279,19.28981,19.289427
ASGN,52.9,52.8,52.443485,52.5,52.5
ASH,60.52241,60.228,60.247,60.45604,60.470497
ASB,159.291,159.34192,153.69,153.67357,153.68457
AIZ,61.1309,60.635834,59.823753,59.652252,59.648075
AGO,96.49514,95.39097,92.27,86.91659,83.53481
ASTE,22.535,22.546,22.552,22.585814,22.602982
T,7307,7254.555,7172.8843,7125,7125
AAWW,25.854,25.871,25.957,26.126558,26.136036
ATO,118.20069,122.25929,122.307,122.311516,123.35498
ATNI,16.005,15.998,16.001,15.981046,15.968423
ADSK,219.588,220.033,219.521,219.18356,
ADP,433.699,432.698,431.754,429.77438,429.84607
AN,89.075,89.212,89.474,87.21513,87.21513
AZO,23.827,23.593,23.352,23.359377,
AVB,139.657,139.662,140.735,140.73134,140.74356
AVNS,47.71,47.929,47.756,47.756626,47.831554
AVY,84.193,83.503,83.296,83.29597,83.46216
AVNT,76.87056,76.915,91.39726,91.39726,91.43668
CAR,75.981,73.82538,69.54257,69.555824,69.668365
AVA,66.111,66.71,67.209,67.29336,67.91476
AVT,101.92971,100.962,99.835236,98.746666,98.77798
ACLS,32.332066,32.421,33.08919,32.87514,33.46517
AAXN,59.255,59.340965,59.528,63.466324,63.47558
AX,61.264,61.289,61.349,59.655663,59.703117
AZZ,26.151966,26.24,26.158957,26.195047,
BGS,64.04465,64.04465,64.04465,64.1205,64.16472
BMI,29.114,29.111,29.113,29.117382,29.117538
BKR,649.14014,649.869,653.741,655.0348,656.3252
BCPC,32.357,32.169,32.255,32.31684,32.348427
BLL,332.003,327.12952,325.785,326.00177,326.56693
BANC,50.403,50.407,49.80022,49.6807,49.75433
BANF,32.642017,32.666,32.696,32.647,32.66269
BXS,103.17639,103.17639,104.523,104.523,104.523
BAC,9079.265,8995.107,8728.53,8675.611,8664.098
BOH,40.626,40.274,40.053,40.010742,40.04929
OZK,128.601,128.601,128.601,128.601,128.601
BKU,95.068,94.945,92.39899,92.38964,92.40195
BANR,34.17345,35.702,35.2825,35.155552,35.15857
BNED,47.607,48.297554,48.297554,48.48571,
B,50.619743,50.714,50.763,50.44246,50.52997
BAX,510.556,510.556,507.206,508.8362,506.23172
BDX,269.954,270.46,271.77637,289.86856,289.86856
BBBY,126.566,126.961,126.55306,126.03436,
BELFB,10.142,10.129,10.124,10.120602,10.232602
BDC,45.45249,45.458,45.46,44.51747,44.51747
BHE,37.627464,37.627,36.755142,36.41571,36.460945
BRK.B,1386.3115,1383.415,1382.352,1390.7074,1401.3564
BHLB,50.394,49.585144,50.200153,50.185486,50.37677
BBY,263.57327,258.77744,257.50336,258.30905,
BIG,39.016,39.043,39.167,39.2288,
BIIB,184.44722,180.44188,174.06401,163.18748,158.31348
BIO,24.705,24.836,24.84,24.567291,24.586409
TECH,37.892,38.112,38.352,38.223007,38.556473
BEAT,33.889,33.991,34.078,34.144802,34.185493
BJRI,20.46122,19.16266,19.221,22.261229,22.27998
BJ,136.773,137.266,138.01175,138.60686,
BKH,61.06323,61.454,62.741608,62.749725,62.745335
BLKB,49.173,49.186,49.142,49.62116,49.57513
BLK,154.574,155.173,154.828,152.46024,152.48357
BLMN,86.83221,86.865,87.03,87.486015,87.54668
BCOR,48.852,47.753,47.838,47.849613,48.037937
BCC,38.975,38.976,39.197,39.197,39.197
BCEI,20.634,20.635,20.648,20.772903,20.834028
BKNG,42.5119,41.4174,41.061813,40.930912,40.94863
BOOT,28.476543,28.564,28.772,28.80962,28.855913
BWA,206.515,206.493,206.704,207.30994,207.25418
BPFH,83.902,83.242,81.80048,81.80048,82.19682
BXP,154.568,154.622,155.122,155.36914,155.6338
BSX,1392.973,1393.824,1399.2,1428.7327,1430.6747
EPAY,43.862,43.966,44.008,43.92442,44.680885
BYD,111.14,111.165,111.607,111.251686,111.38688
BRC,49.46,49.766,49.811,48.42159,
BDN,176.195,176.195,170.96599,170.4956,170.57317
BHF,109.264305,106.0273,105.096,93.84403,91.15893
BSIG,90.73055,86.1078,85.69,80.24174,80.11469
EAT,37.5,37.371,37.407,36.906437,45.0651
BMY,1635.767,2344.1848,2262.463,2262.6897,2259.7515
VTOL,7.077,7.0963335,30.882471,30.279955,
BRX,297.846,297.846,298.016,296.44943,296.48123
AVGO,396.671,397.7923,399.791,402.18527,
BR,114.283,114.646,114.803,114.81748,115.16151
BRKL,79.834,79.768,79.768,78.84683,78.91927
BRKS,72.2244,73.61776,73.62,73.75898,73.76025
BRO,281.275,281.746,283.526,283.4037,282.81387
BF.B,308.5,308.807,309.1,309.31433,
BC,82.406,79.569,79.470345,79.12845,79.16176
BLDR,115.5286,115.787,116.13,116.61083,116.722664
CHRW,135.378,135.25,131.3397,134.60999,134.82341
CABO,5.706,5.711,5.724,6.016949,6.020339
CBT,57.08059,56.978,56.68,56.45348,56.461544
COG,418.39063,397.92468,398.5755,398.5755,398.5799
CACI,24.882,25.042,25.072,25.086342,25.096775
CADE,128.711,128.015,125.89783,125.92951,125.96277
CDNS,280.153,280.593,280.168,279.187,278.794
CZR,77.768,77.77,77.797,95.86098,199.42717
CAMP,34.120255,34.159,34.32568,34.364532,
CVGW,17.595,17.595,17.614,17.638514,
CAL,40.71531,40.535,40.233,38.77222,
CWT,48.14,48.145,48.537,49.398,49.398
ELY,94.094,94.107,94.108,94.108,94.16354
CPE,22.8304,39.0468,39.668446,39.69967,39.747665
CALM,43.89334,43.89334,43.89334,43.700718,
CPT,96.827,96.832,99.62955,97.38115,97.39587
CPB,301.187,301.655,301.745,302.16443,
CMD,42.522507,42.579273,42.14146,42.154297,
COF,470.333,465.721,457.421,455.3101,456.63577
CFFN,141.434,141.504,141.512,141.51172,138.9563
CPRI,151.579,151.635,149.365,149.365,150.3447
CMO,94.606,94.606,96.193695,96.394714,96.46873
CAH,292.4042,292.488,291.784,291.98642,293.39355
CSII,35.268093,35.2,35.248,39.502377,40.12857
CATM,45.297783,44.604,44.454308,44.463036,44.476906
CTRE,95.557,95.557,95.469,95.71134,95.73665
CSL,56.606,56.673,55.69,54.912884,54.57981
KMX,164.43,163.385,162.74544,163.07776,
CCL,526.85077,527.6592,599.693,600.6634,
CRS,47.664,47.72,47.799,47.80505,47.94676
CARR,#N/A,#N/A,866.22345,866.15894,866.165
CRI,44.739,44.147,43.929,43.60634,43.635082
CASY,36.783,36.792,36.794,36.906773,
CTLT,146.256,146.309,156.129,163.93216,164.51006
CAT,552.6584,552.6584,550.083,541.2393,541.5066
CATY,79.818,79.707,79.649,79.55553,79.62
CVCO,9.115,9.134,9.142,9.173242,9.180229
CBOE,111.682,110.777,110.435,109.72034,108.75788
CBRE,336.336,334.752,334.791,335.1668,335.2778
CDK,121.199,121.398,121.492,121.52751,121.54057
CDW,144.715,143.681,142.772,142.31808,142.66966
CE,123.74035,120.874,119.566,118.2289,118.290665
CNC,413.605,413.796,586.811,579.1294,579.46954
CNP,502.219,502.242,502.6475,544.69244,544.819
CENT,12.145,11.48,11.32911,11.30081,11.30081
CPF,28.557,28.377,28.264,28.115353,28.15416
CENX,88.894,88.894,89.186,89.46097,89.48483
CCS,30.439,31.347,33.312443,33.3325,33.35063
CDAY,143.15115,143.978,142.66727,142.66727,147.52116
CERN,318.39395,314.097,304.2457,304.3486,305.38156
CEVA,21.965,21.993,22.192,22.004305,22.158815
CF,218.32584,217.432,213.79698,213.79727,213.87994
CHX,77.46,77.464,77.493,205.1053,199.8089
CRL,48.807,48.839,49.48476,49.48744,49.678593
