Symbol,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
MMM,1.44,1.44,1.47,1.47,1.47
ABT,0.32,0.36,0.36,0.36,0.36
ABBV,1.07,1.18,1.18,1.18,1.18
ABMD,0,0,0,0,0
ACN,1.46,0.8,0.8,0.8,0.8
ATVI,0,0.37,0,0,0
ADBE,0,0,0,0,0
AMD,0,0,0,0,0
AAP,0.06,0.06,0.25,0.25,0.25
AES,0.1365,0.1433,0.1433,0.1433,0.1433
AFL,0.27,0.27,0.28,0.28,0.28
A,0.164,0.164,0.18,0.18,0.18
APD,1.16,1.16,1.34,1.34,1.34
AKAM,0,0,0,0,0
ALK,0.35,0.35,0.375,0,0
ALB,0.3675,0.3675,0.385,0.385,0.385
ARE,1,1.03,1.03,1.06,1.06
ALXN,0,0,0,0,0
ALGN,0,0,0,0,0
ALLE,0.27,0.27,0.32,0.32,0.32
LNT,0.355,0.355,0.38,0.38,0.38
ALL,0.5,0.5,0.54,0.54,0.54
GOOGL,0,0,0,0,0
GOOG,0,0,0,0,0
MO,0.84,0.84,0.84,0.84,0.86
AMZN,0,0,0,0,0
AMCR,0.12,0.115,0.115,0.115,0.115
AEE,0.475,0.495,0.495,0.495,0.495
AAL,0.1,0.1,0.1,#N/A,#N/A
AEP,0.67,0.7,#N/A,0.7,0.7
AXP,0.43,0.43,0.43,0.43,0.43
AIG,0.32,0.32,0.32,0.32,0.32
AMT,0.95,1.01,1.08,1.1,1.14
AWK,0.5,0.5,0.55,0.55,0.55
AMP,0.97,0.97,0.97,1.04,1.04
ABC,0.4,0.4,0.42,0.42,0.42
AME,0.14,0.14,0.18,0.18,0.18
AMGN,1.45,1.45,1.6,1.6,1.6
APH,0.25,0.25,0.25,0.25,0.25
ADI,0.54,0.54,0.54,0.62,0.62
ANSS,0,0,0,0,0
ANTM,0.8,0.8,0.95,0.95,0.95
AON,0.44,0.44,#N/A,0.44,0.44
AOS,0.22,0.24,0.24,0.24,0.24
APA,0.25,0.25,0.025,0.025,0.025
AIV,0.39,0.39,0.41,0.41,0.41
AAPL,0.1925,0.1925,0.1925,0.205,0.205
AMAT,0.21,0.21,0.21,0.22,0.22
APTV,0.22,0.22,0.22,#N/A,#N/A
ADM,0.35,0.35,0.36,0.36,0.36
ANET,0,0,0,0,0
AJG,0.43,0.43,0.45,0.45,0.45
AIZ,0.6,0.63,#N/A,0.63,0.63
T,0.51,0.52,0.52,0.52,0.52
ATO,0.525,0.575,0.575,0.575,0.575
ADSK,0,0,0,0,0
