Symbol,2015 EBITDA,2016 EBITDA,2017 EBITDA,2018 EBITDA,2019 EBITDA
MMM,8306,8493,8770,9262,8567
ABT,4421,4602,4993,7122,7605
ABBV,9277,10984,12065,13903,15932
ABMD,33.046,69.434,97.93,169.479,238.018
ACN,5130.967,5516.493,6063.031,6918.66,7246.167
ATVI,1799,2596,2508,2989,2317
ADBE,1187.791,1806.314,2461.24,3138.214,3964.918
AMD,-164,-336,211,626,847
AAP,1146.531,1067.644,848.55,901.859,917.851
AES,3749,3308,3405,3393,3211
AFL,#N/A,#N/A,#N/A,#N/A,#N/A
A,802,982,1054,1117,1172
APD,2806.7,2425.1,2530.8,2886.1,3203.3
AKAM,768.336,805.225,767.64,844.216,1008.665
ALK,1675,1838,1711,1130,1543
ALB,730.682,735.806,819.488,925.01,898.807
ARE,513.796,568.419,714.809,965.818,1140.038
ALXN,725,1106,1451.1,2019,2479.9
ALGN,206.638,272.923,391.35,521.291,617.858
ALLE,438.3,490.1,567.4,626.2,668.1
LNT,990.7,1030.2,1136.9,1211.9,1344.9
ALL,#N/A,#N/A,#N/A,#N/A,#N/A
GOOGL,23024,29321,35966,40566,47254
GOOG,23024,29321,35966,40566,47254
MO,8717,9257,9946,9693,10785
AMZN,8051,10406,13517,25330,30457
AMCR,1320.3,1341.1,1366.7,1396.4,1180.5
AEE,2152,2314,2382,2407,2341
AAL,8900,7833,6982,5606,6024
AEP,5465.8,5499.1,5456,5113,5326.2
AXP,12885,12918,12993,15119,15200
AIG,#N/A,#N/A,#N/A,#N/A,#N/A
AMT,2964.413,3465.912,3986.3,4525.6,4642.8
AWK,1512,1540,1729,1664,1786
AMP,2808,2132,2690,2965,2506
ABC,1557.126,2067.907,2441.197,2150.59,2355.069
AME,1093.776,1007.213,1070.047,1275.03,1411.422
AMGN,10266,11629,11922,12272,11779
APH,1282.4,1457.2,1658.5,1995.1,1956.7
ADI,1048.524,1260.38,1755.047,2760.353,2609.77
ANSS,431.349,449.229,470.145,535.829,594.015
ANTM,#N/A,#N/A,#N/A,#N/A,#N/A
AON,2107,1668,1665,2518,2864
AOS,456.4,526.5,589.8,623,545.1
APA,3552,2962,3642,4759,3820
AIV,560.794,578.232,594.568,592.151,536.944
AAPL,77130,68281,69428,80342,74542
AMAT,2000,2671,4227,4940,3713
APTV,2574,2219,2066,2274,2131
ADM,2221,2794,2087,2910,2671
ANET,162.979,263.158,490.912,705.047,838.174
AJG,725.7,813,896.7,1028,1219.1
AIZ,#N/A,#N/A,#N/A,#N/A,#N/A
T,48637,51721,47894,55719,58594
ATO,932.548,1000.373,1043.689,1089.017,1137.514
ADSK,262.7,117.8,-281.2,-316.5,124.2
ADP,2291.9,2536.7,2734.4,2955.5,3413.6
AZO,2222.992,2357.852,2403.191,2479.193,2578.943
AVB,1158.79,1279.549,1372.822,1451.467,1481.803
AVY,717.6,779.1,929.4,990.1,998.8
BKR,1627,1758,1604,2773,3044
BLL,1106.8,1144,1913,1625,1680
BAC,#N/A,#N/A,#N/A,#N/A,#N/A
BK,#N/A,#N/A,#N/A,#N/A,#N/A
BAX,1372,1901,2335,2523,2697
BDX,2328,3208,3182,4104,5024
BRK.B,45414,44473,33260,41889,42746
BBY,2099,2141,2389,2548,2734
BIO,292.908,258.399,261.856,320.872,428.461
BIIB,4172.3,5148.9,5457.3,5813.2,6293.9
BLK,5015,4918,5671,5803,6256
BA,9003,7448,12166,13915,335
BKNG,3531.401,4156.148,5142.758,5767,5986
BWA,1355.9,1507.1,1620.5,1718.9,1671
BXP,1488.254,1524.103,1529.335,1569.281,1732.23
BSX,1559,2051,2369,2631,2722
BMY,4621,5805,6111,7097,8248
AVGO,2812,3821,7412,9448,10111
BR,605.4,672.8,786.2,887.4,810.4
BF.B,1033,1034,987,1112,1189
CHRW,924.719,912.2,868.096,1008.812,890.425
COG,583.209,512.597,999.313,1257.779,1203.877
CDNS,408.806,406.544,448.885,526.019,623.206
CPB,1478,1446,1987,1398,1555
COF,#N/A,#N/A,#N/A,#N/A,#N/A
CAH,2821,3544,3198,3556,2806
KMX,641.775,702.985,713.065,754.15,778.763
CCL,4200,4809,5048,5342,5437
CARR,#N/A,#N/A,2916,3055,2911
CTLT,418.8,370.1,407.5,477.9,541.4
CAT,7731,5148,8556,11434,11070
CBOE,366.202,342.577,649.5,833.5,762.3
CBRE,1139.269,1166.552,1492.319,1578.327,1833.926
CDW,976.1,1073.7,1127.4,1252.9,1393.6
CE,1079,1193,1223,1672,1381
CNC,#N/A,#N/A,#N/A,#N/A,#N/A
CNP,1880,2032,2029,2120,2377
CERN,1325.361,1455.249,1541.194,1417.376,1374.635
CF,2121,1153,1187,1566,1808
SCHW,2509,3319,4079,5112,5224
CHTR,3400,10348,15040,15774,16540
CVX,19329,14113,22141,33890,29381
CMG,907.722,204.226,459.828,591.873,863.962
CB,#N/A,#N/A,#N/A,#N/A,#N/A
CHD,770.3,834.7,857.2,927.3,1022.6
CI,#N/A,#N/A,#N/A,#N/A,#N/A
CINF,#N/A,#N/A,#N/A,#N/A,#N/A
CTAS,850.731,932.832,1047.28,1268.407,1508.037
CSCO,14034,15123,15046,14909,16435
C,#N/A,#N/A,#N/A,#N/A,#N/A
CFG,#N/A,#N/A,#N/A,#N/A,#N/A
CTXS,850.327,808.513,814.645,875.424,792.666
CLX,1171,1233,1285,1292,1289
CME,2206.9,2455.7,2517.3,2892.6,3073.4
CMS,1914,2107,2219,2095,2231
KO,11774,11151,10038,11194,11869
CTSH,2543,2651,3005,3247,3309
