Symbol,Q3 2019 Market Value,Q4 2019 Market Value,Q3 2020 Market Value,Q2 2020 Market Value,Q3 2020 Market Value
MMM,94575.87276,101450.5008,78528.87408,89724.88181,92266.78474
ABT,147878.1832,153516.1869,139152.5032,161725.5297,192686.7863
ABBV,111950.8017,130934.8167,112507.7175,173026.7661,154581.7381
ABMD,8072.114307,7702.991076,6541.345205,10859.80377,12480.79382
ACN,127745.3687,114682.5176,128437.3761,152642.6588,
ATVI,40591.01457,45650.00837,45753.32331,58479.84399,62483.04174
ADBE,149836.9754,168323.9572,186264.2676,246255.3511,
AMD,31469.97889,51070.98313,53250.35073,61616.32922,96260.91147
AAP,11807.40827,11092.58566,8353.550867,10374.85701,10612.80019
AES,10847.3087,13211.47055,9040.845127,9634.509098,12045.52469
AFL,38736.8381,38829.5536,24739.12012,25851.81001,25574.9129
A,23442.1769,25608.70887,23737.84687,29744.52797,
APD,48887.95949,51812.00457,44049.53447,53327.56401,65795.59639
AKAM,14803.55956,13959.09376,14810.58418,17377.97294,17985.39587
ALK,8001.586177,8338.466986,3489.99484,4444.945416,4528.923249
ALB,7368.146368,7744.650208,5993.20193,8208.889912,9495.641582
ARE,17470.90785,18606.05457,17296.26544,20475.11394,20178.3313
ALXN,21960.79342,23932.62203,19942.35975,24785.67121,25079.96519
ALGN,14450.26157,21991.98118,13699.08382,21615.70758,25791.60711
ALLE,9678.422486,11571.88324,8521.143518,9426.752034,9122.80955
LNT,12961.69572,13386.02224,12048.53649,11936.25961,12894.13175
ALL,35776.56193,35871.54903,29070.52242,30466.11879,29401.44331
GOOGL,789296.4036,858935.736,740932.5477,900688.9223,930674.8325
GOOG,789296.4036,858935.736,740932.5477,900688.9223,930674.8325
MO,76405.12709,93238.21595,71863.0463,72940.94565,71808.46732
AMZN,858678.324,920224.303,970679.7615,1376033.325,1577166.253
AMCR,15745.84058,17562.33918,13024.86342,16075.00569,17331.72027
AEE,19676.55727,18895.10466,17969.85613,17371.25351,19539.04959
AAL,12008.95846,12280.77648,5193.655939,6640.990972,6250.223354
AEP,46263.65601,46703.95711,39576.74563,39468.24016,40550.78463
AXP,97107.879,100836.8983,68982.65637,76633.28402,80717.40356
AIG,48453.87738,44654.63911,20886.28493,26855.04271,23715.27583
AMT,97890.93567,101796.4746,96444.08524,114612.4474,107224.3235
AWK,22442.52278,22208.33144,21637.37129,23290.40938,26252.84449
AMP,18741.28957,21104.95114,12601.86371,18355.48013,18534.63524
ABC,17022.60475,17507.50307,18221.44185,20496.89655,19785.42288
AME,20966.72901,22799.86556,16506.26321,20504.34726,22825.26075
AMGN,116048.1823,143239.9463,119571.572,138744.0263,148859.9194
APH,28703.73181,32089.33063,21725.60102,28349.6397,32305.2618
ADI,39389.76139,40492.7026,40356.91157,42374.41656,
ANSS,18616.59695,22029.48048,19972.42803,24970.75751,28072.81329
ANTM,61421.66358,76583.93321,57245.18129,66301.49182,67552.11768
AON,45651.91607,48334.00505,38175.73286,44507.32343,47789.46685
AOS,6600.699048,6529.491677,5140.648041,6365.706511,7147.804731
APA,9624.550925,9622.761572,1577.180855,5095.251343,3574.533504
AIV,7762.811809,7689.910193,5234.88947,5603.245978,5019.729711
AAPL,1012160.789,1304764.78,1112640.775,1562780.882,1966078.959
AMAT,50122.87547,53270.02116,45621.39232,58957.11563,
APTV,22396.39099,24244.70114,12566.9837,21040.37557,24755.9251
ADM,22874.92197,25802.39405,19602.57788,22164.29986,25832.02302
ANET,18311.85658,15539.55656,15490.86729,15900.21889,15731.97773
AJG,16666.2905,17762.58544,15454.86654,18486.1511,20218.57035
AIZ,7691.489508,7948.145198,6227.054268,6161.481184,7235.908308
T,276496.8811,283508.0296,209089.5597,215388.7467,203133.7516
ATO,13461.87665,13675.9254,12136.52394,12179.78097,11791.50286
ADSK,32358.48744,43313.49833,41078.96507,51821.56825,
ADP,70007.69261,73775.00867,59012.13326,63989.1077,59959.23057
AZO,28066.30049,24360.00909,23826.51208,27945.05756,
AVB,30072.34157,29287.12151,20711.96978,21762.6941,21018.64285
AVY,9561.799074,10923.86286,8485.363506,9503.236582,10669.802
BKR,15060.05167,16656.1424,6864.280792,10080.98564,8722.561821
BLL,24173.13694,21155.46524,21065.25953,22653.8623,27144.24117
BAC,264842.1505,316807.6944,185306.6937,206045.769,208718.1139
BK,41692.6148,45331.3762,29808.51881,34222.36596,30420.49072
BAX,44658.33392,42692.6941,41180.05586,43810.79709,40711.15399
BDX,68287.56818,73557.00421,62446.05705,69356.85178,67446.6146
BRK.B,509781.2423,553773.2278,442863.4282,433463.3255,508935.4215
BBY,18932.46647,21915.86421,19758.23344,25724.99749,
BIO,9920.091163,11081.76869,10490.62975,13388.74381,15286.25401
BIIB,42943.00308,53542.52082,55070.37253,43660.80955,44910.36154
BLK,68884.36191,78005.47108,68119.67664,82952.09368,85932.11192
BA,214094.2827,183334.8067,84148.66726,103440.8436,93280.7941
BKNG,83434.28308,85060.16467,55241.27654,65175.92704,70050.00677
BWA,7574.970241,8957.666396,5037.376526,7318.040601,8029.027316
BXP,20041.28656,21316.18819,14306.90203,14042.2625,12497.39496
BSX,56680.07037,63028.72183,45655.8959,50162.80478,54666.07831
BMY,82949.74144,150473.229,126109.6853,133046.1525,136240.4179
AVGO,116165.1018,121390.2896,108591.2254,127392.185,
BR,14220.23337,14163.3674,10886.76883,14488.81737,15201.31787
BF.B,30718.67325,31751.82122,28813.96924,32141.1929,
CHRW,11477.34718,10576.54959,8694.688164,10642.26511,13777.6046
COG,7351.123154,6927.868664,6851.513066,6847.52722,6919.346691
CDNS,18512.51175,19461.92975,18502.29493,26790.78539,29727.80413
CPB,13947.97093,14597.08521,15081.21472,14978.29064,
COF,42790.89863,47927.35067,23063.16548,28497.85855,32813.84471
CAH,13798.55405,14794.04391,13988.1244,15238.77243,13774.82618
KMX,15992.46144,14265.14347,14329.73628,17437.9048,
CCL,23750.43363,17655.47567,9439.167575,9898.932411,
CARR,#N/A,#N/A,14942.35451,19246.05095,26452.67736
CTLT,6970.560781,8237.196911,8110.901555,12016.2289,14091.93065
CAT,69806.27942,81616.58643,63831.63273,68466.77383,80765.70486
CBOE,12833.37894,13293.24005,9856.323532,10234.71289,9542.416261
