Symbol,Q3 2019 Shareholder's Equity,Q4 2019 Shareholder's Equity,Q1 2020 Shareholder's Equity,Q2 2020 Shareholder's Equity,Q3 2020 Shareholder's Equity
MMM,10702,10063,10147,10857,11880
ABT,31817,31088,30218,30578,31386
ABBV,-8226,-8172,-7415,14708,15270
ABMD,991.457,1046.863,1065.466,1101.848,1182.409
ACN,15167.138,15474.589,16014.606,17000.536,
ATVI,12235,12805,13021,13682,14382
ADBE,10530.155,10465,10881,11713,
AMD,2176,2827,3037,3305,3867
AAP,3454.942,3549.081,3537.029,3726.519,3762.664
AES,4026,3884,3412,3337,2871
AFL,29438,28959,26402,29420,32479
A,4748,4848,4768,4981,
APD,11053.6,11556,11371.9,11659.3,12079.8
AKAM,3501.6,3657.958,3672.218,3904.295,4107.617
ALK,4252,4331,4015,3861,3454
ALB,3836.559,3932.25,3878.004,4024.472,4124.881
ARE,7790.232,8865.826,9322.586,9431.44,10701.814
ALXN,10367.2,11271.8,11747.8,10490.8,11074.9
ALGN,1305.549,1346.169,2852.989,2845.045,3033.471
ALLE,685,757.4,611.3,677.5,824.3
LNT,5169.2,5405.1,5702.4,5748.3,5909
ALL,26140,25998,24173,26986,27263
GOOGL,194969,201442,203659,207322,212920
GOOG,194969,201442,203659,207322,212920
MO,10545,6222,6543,5688,3139
AMZN,56508,62060,65272,73728,82775
AMCR,5424.2,5339.7,4739.6,4625.9,4687
AEE,8062,8059,8085,8227,8489
AAL,160,-118,-2636,-3169,-5528
AEP,19716.4,19632.2,19728.4,20007.4,20365.9
AXP,23025,23071,21006,21062,21869
AIG,65603,65675,60173,62234,64108
AMT,5240.4,5055.4,3634.4,3620.3,3731.7
AWK,6190,6121,6243,6338,6512
AMP,5997,5729,6693,6500,6067
ABC,2878.917,2954.626,3590.59,3857.252,-839.636
AME,4865.965,5115.492,5326.003,5486.44,5704.192
AMGN,10927,9673,9485,10659,10959
APH,4155.3,4530.3,4385.8,4738.6,5040.2
ADI,11709.188,11689.517,11590.858,11777.56,
ANSS,2923.324,3453.379,3292.35,3438.048,3589.613
ANTM,31332,31728,31693,34455,33921
AON,3492,3375,3169,3601,3542
AOS,1656.2,1666.8,1616.3,1658.1,1747.1
APA,6301,3255,-1246,-1635,-1641
AIV,1705.459,1780.649,1717.455,1698.012,2121.391
AAPL,90488,89531,78425,72282,65339
AMAT,8214,8660,9024,9569,
APTV,3565,3819,4971,6942,7363
ADM,18873,19208,18952,19293,19322
ANET,2656.004,2894.686,2848.826,3036.483,3083.877
AJG,4843.3,5155.5,5029.5,5488.6,5771.7
AIZ,5658.6,5652.8,5370,5967.8,5936.4
T,183049,184221,177779,175896,175553
ATO,5750.223,6127.775,6304.415,6461.471,6791.203
ADSK,-171.5,-139.1,-139.1,67.3,
ADP,5360.7,5364.4,5490.7,5752.2,5808.9
AZO,-1776.09,-1711.119,-1632.736,-877.977,
AVB,10814.425,10989.549,10911.928,10870.19,10669.644
AVY,1057.4,1204,1173.4,1213.9,1334.6
BKR,21876,21929,11470,11254,11582
BLL,3365,2949,2630,2762,2886
BAC,268387,264810,264918,265637,268850
BK,41120,38845,41145,43697,44917
BAX,7588,7882,7699,8128,8567
BDX,21081,21202,20951,24022,23775
BRK.B,397609,424791,371565,393495,415155
BBY,3125,3479,3410,3778,
BIO,5131.192,5755.057,6293.079,7353.402,8825.145
BIIB,13995.9,13343.2,12546.9,11308.7,10758.5
BLK,32407,33547,33013,32730,33873
BA,-4116,-8617,-9665,-11667,-11821
